Feature,Importance
TFIDF_rapi,0.0002515388642493115
TFIDF_51,0.0002482550023720003
TFIDF_perkusi,0.0002360308399365469
TFIDF_lebar,0.00022776392880680956
TFIDF_berubah,0.0002253062954760174
TFIDF_benjolan,0.00022372327707775904
TFIDF_21,0.00021782533542036612
TFIDF_maloklusi,0.00021722500515060936
TFIDF_ekstraksi,0.00021697100189114452
TFIDF_bulla,0.00021586201732348684
TFIDF_terbakar,0.00021515719219402735
TFIDF_kehilangan,0.00021237188867042687
TFIDF_pseudomembran,0.00020266517258608007
TFIDF_melibatkan,0.00019876453478813403
TFIDF_difus,0.00019494520265703617
TFIDF_rekuren,0.00019224493002013667
TFIDF_tetap,0.0001881064695021457
TFIDF_25,0.0001877027909226829
TFIDF_setelah,0.00018398877807233454
TFIDF_15,0.00017952953196897245
TFIDF_nanah,0.00017318112771176454
TFIDF_mau,0.00017229496898690558
TFIDF_air,0.00017139125912991006
TFIDF_bertemu,0.00017095193877122235
TFIDF_ulserasi,0.00016462664277439197
TFIDF_miofasial,0.00016001380046119857
TFIDF_ompong,0.00015642638284147723
TFIDF_baru,0.000154719286082472
TFIDF_kemerahan,0.0001540980724528133
TFIDF_kaki,0.00015388096573839915
TFIDF_copot,0.00015094250829452552
TFIDF_kena,0.00014705084711893657
TFIDF_berlebihan,0.00014664612624855111
TFIDF_mayor,0.0001444355499317231
TFIDF_balm,0.00013895801757824415
TFIDF_26,0.000138158848428597
TFIDF_sisi,0.00013683310493898477
TFIDF_pakai,0.00013145504816035973
TFIDF_atriksi,0.00012882447665056343
TFIDF_baik,0.00012206540308253297
TFIDF_palatum,0.00011276314522322833
TFIDF_gelap,9.599675686632208e-05
TFIDF_sudut,9.258080100585604e-05
TFIDF_mudah,9.164906646186428e-05
TFIDF_tersenyum,9.022601496768009e-05
TFIDF_longgar,8.716648202604934e-05
TFIDF_banyak,8.296331614864264e-05
TFIDF_masih,8.268329035978105e-05
TFIDF_tiba,6.854009595613433e-05
TFIDF_sempurna,6.837606837606838e-05
TFIDF_malu,6.793478260869564e-05
TFIDF_bernanah,6.767859176468673e-05
TFIDF_terus,5.963885970342578e-05
TFIDF_panjang,4.817244937433807e-05
TFIDF_in,3.969617160960342e-05
TFIDF_malam,2.750085940185629e-05
TFIDF_terlihat,2.5906316283738934e-05
TFIDF_dorsum,2.090273695211967e-05
TFIDF_sela,1.5304560759106214e-05
TFIDF_desidui,1.5267758311385925e-05
TFIDF_anterior,7.422949207310239e-06
TFIDF_patah,0.0
TFIDF_menjadi,0.0
TFIDF_ektopik,0.0
TFIDF_ekstremitas,0.0
TFIDF_hemoragik,0.0
TFIDF_situ,0.0
TFIDF_targetoid,0.0
TFIDF_tanggal,0.0
TFIDF_dibuatkan,0.0
